,click_id,ip,app,device,os,channel,ip_app,ip_device,ip_os,ip_channel,app_device,app_os,app_channel,device_os,device_channel,os_channel
click_id,1.0,0.0022013594666829344,0.021393043459848014,0.003234436114095779,0.01773817336639678,-0.010692633713819993,0.017244101167945114,0.0026764851982572168,0.013514915717056566,-0.005341530817296351,0.001691391876006261,0.021872065825419094,0.015533860627154613,0.004518774516563707,0.003095156512444521,0.006141425709022364
ip,0.0022013594666829344,1.0,-0.009305643966581987,0.0019634188596855244,0.0002133022058313158,-0.003812992199273417,0.473070802104591,0.03182142936855555,0.6398320403660656,0.7023967471892322,0.0009119684404890061,-0.005828586082045475,-0.010253868044832113,0.0019377334350283962,0.00184019053662928,-0.002177122971226329
app,0.021393043459848014,-0.009305643966581987,1.0,0.029036194653508058,0.045452134907635645,-0.09023432153491244,0.7428352681186817,0.022761372457948986,0.023496854227673187,-0.06299299859584723,0.0802601672629335,0.7658338203439249,0.8460876471256821,0.021765701594296256,0.026888070785179623,-0.011898933548153226
device,0.003234436114095779,0.0019634188596855244,0.029036194653508058,1.0,0.04058416669060318,-0.0019490984474693073,0.024089221397759195,0.8997795837523591,0.030253100901437582,0.00021078238521520488,0.7011927676641786,0.04805133506290479,0.02373891534905595,0.7654438471824252,0.9688212330942472,0.03151725832631829
os,0.01773817336639678,0.0002133022058313158,0.045452134907635645,0.04058416669060318,1.0,0.012514257925796716,0.034658964654694355,0.033880509858079444,0.6622596053151006,0.00779405351264014,0.03084952218126004,0.43352180952693076,0.05330001620577795,0.07771817553423574,0.04580797455061197,0.7158746747084727
channel,-0.010692633713819993,-0.003812992199273417,-0.09023432153491244,-0.0019490984474693073,0.012514257925796716,1.0,-0.07311248420791436,-0.0015842146073952422,0.005789172380799397,0.6112624555356061,-0.0017279856199641968,-0.03772834131820653,0.33151501913183923,0.001918576618154154,0.021681880759538096,0.6061440091754293
ip_app,0.017244101167945114,0.473070802104591,0.7428352681186817,0.024089221397759195,0.034658964654694355,-0.07311248420791436,1.0,0.03922950611511307,0.3338119194143635,0.27326789808583435,0.062323848194459804,0.5726799757445387,0.6205110350018735,0.018306131746832807,0.02228236484006183,-0.011640506774029419
ip_device,0.0026764851982572168,0.03182142936855555,0.022761372457948986,0.8997795837523591,0.033880509858079444,-0.0015842146073952422,0.03922950611511307,1.0,0.05204450799259918,0.021168419285834753,0.622031196425474,0.03857092667636823,0.018552255336710427,0.7087742234710047,0.8733684827405536,0.026246586954245508
ip_os,0.013514915717056566,0.6398320403660656,0.023496854227673187,0.030253100901437582,0.6622596053151006,0.005789172380799397,0.3338119194143635,0.05204450799259918,1.0,0.45626010787291144,0.02201967820479909,0.2821715943682474,0.0280579929104781,0.058046557685773235,0.033783143251925565,0.47157164071402113
ip_channel,-0.005341530817296351,0.7023967471892322,-0.06299299859584723,0.00021078238521520488,0.00779405351264014,0.6112624555356061,0.27326789808583435,0.021168419285834753,0.45626010787291144,1.0,-0.0004318339812691464,-0.02794640946339481,0.19476455824287686,0.0026432827518020514,0.014700437095658301,0.37059803670306046
app_device,0.001691391876006261,0.0009119684404890061,0.0802601672629335,0.7011927676641786,0.03084952218126004,-0.0017279856199641968,0.062323848194459804,0.622031196425474,0.02201967820479909,-0.0004318339812691464,1.0,0.10037596396043413,0.0679023598909981,0.5323838800864928,0.6786966092030037,0.024162530612080076
app_os,0.021872065825419094,-0.005828586082045475,0.7658338203439249,0.04805133506290479,0.43352180952693076,-0.03772834131820653,0.5726799757445387,0.03857092667636823,0.2821715943682474,-0.02794640946339481,0.10037596396043413,1.0,0.6901177268826362,0.07681898350281258,0.051427990223638705,0.2876550328790407
app_channel,0.015533860627154613,-0.010253868044832113,0.8460876471256821,0.02373891534905595,0.05330001620577795,0.33151501913183923,0.6205110350018735,0.018552255336710427,0.0280579929104781,0.19476455824287686,0.0679023598909981,0.6901177268826362,1.0,0.02070605078995719,0.03351882370908891,0.24664972456770692
device_os,0.004518774516563707,0.0019377334350283962,0.021765701594296256,0.7654438471824252,0.07771817553423574,0.001918576618154154,0.018306131746832807,0.7087742234710047,0.058046557685773235,0.0026432827518020514,0.5323838800864928,0.07681898350281258,0.02070605078995719,1.0,0.7963210581803788,0.0630779397257899
device_channel,0.003095156512444521,0.00184019053662928,0.026888070785179623,0.9688212330942472,0.04580797455061197,0.021681880759538096,0.02228236484006183,0.8733684827405536,0.033783143251925565,0.014700437095658301,0.6786966092030037,0.051427990223638705,0.03351882370908891,0.7963210581803788,1.0,0.05193228526394216
os_channel,0.006141425709022364,-0.002177122971226329,-0.011898933548153226,0.03151725832631829,0.7158746747084727,0.6061440091754293,-0.011640506774029419,0.026246586954245508,0.47157164071402113,0.37059803670306046,0.024162530612080076,0.2876550328790407,0.24664972456770692,0.0630779397257899,0.05193228526394216,1.0
